
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 25-Apr-2019 17:41:52 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align_protossOG.txt --outgroup Protoss_OG --model MULTI6_MK --bs-trees 1000 --prefix BootstrapConcat_OG_P --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align_protossOG.txt
[00:00:00] Loaded alignment with 33 taxa and 70 sites

Alignment comprises 1 partitions and 62 patterns

Partition 0: noname
Model: MULTI6_MK
Alignment sites / patterns: 70 / 62
Gaps: 0.00 %
Invariant sites: 1.43 %


NOTE: Binary MSA file created: BootstrapConcat_OG_P.raxml.rba
[00:01:09] Bootstrap tree #78, logLikelihood: -2036.466968
[00:01:09] Bootstrap tree #79, logLikelihood: -2096.019136
[00:01:10] Bootstrap tree #80, logLikelihood: -2201.684421
[00:01:11] Bootstrap tree #81, logLikelihood: -1798.466091
[00:01:12] Bootstrap tree #82, logLikelihood: -1901.531389
[00:01:12] Bootstrap tree #83, logLikelihood: -2076.934693
[00:01:13] Bootstrap tree #84, logLikelihood: -1963.760423
[00:01:14] Bootstrap tree #85, logLikelihood: -1976.920742
[00:01:16] Bootstrap tree #86, logLikelihood: -2331.024210
[00:01:16] Bootstrap tree #87, logLikelihood: -2126.991991
[00:01:17] Bootstrap tree #88, logLikelihood: -1969.531924
[00:01:18] Bootstrap tree #89, logLikelihood: -2043.514840
[00:01:19] Bootstrap tree #90, logLikelihood: -1994.650555
[00:01:19] Bootstrap tree #91, logLikelihood: -1934.967458
[00:01:20] Bootstrap tree #92, logLikelihood: -2136.186529
[00:01:21] Bootstrap tree #93, logLikelihood: -2203.883575
[00:01:22] Bootstrap tree #94, logLikelihood: -1920.061381
[00:01:23] Bootstrap tree #95, logLikelihood: -2262.953558
[00:01:24] Bootstrap tree #96, logLikelihood: -1911.110683
[00:01:24] Bootstrap tree #97, logLikelihood: -2046.383679
[00:01:25] Bootstrap tree #98, logLikelihood: -2114.364211
[00:01:26] Bootstrap tree #99, logLikelihood: -2052.660082
[00:01:27] Bootstrap tree #100, logLikelihood: -2063.631525
[00:01:28] Bootstrap tree #101, logLikelihood: -2117.617469
[00:01:29] Bootstrap tree #102, logLikelihood: -2094.732533
[00:01:29] Bootstrap tree #103, logLikelihood: -2026.391804
[00:01:30] Bootstrap tree #104, logLikelihood: -2026.191931
[00:01:31] Bootstrap tree #105, logLikelihood: -2195.896956
[00:01:32] Bootstrap tree #106, logLikelihood: -1972.112819
[00:01:33] Bootstrap tree #107, logLikelihood: -1917.280205
[00:01:35] Bootstrap tree #108, logLikelihood: -2208.326992
[00:01:35] Bootstrap tree #109, logLikelihood: -2027.888701
[00:01:36] Bootstrap tree #110, logLikelihood: -2199.404317
[00:01:37] Bootstrap tree #111, logLikelihood: -1893.057058
[00:01:38] Bootstrap tree #112, logLikelihood: -2100.093686
[00:01:38] Bootstrap tree #113, logLikelihood: -2095.482965
[00:01:39] Bootstrap tree #114, logLikelihood: -2043.311303
[00:01:40] Bootstrap tree #115, logLikelihood: -1896.523525
[00:01:42] Bootstrap tree #116, logLikelihood: -2216.318717
[00:01:42] Bootstrap tree #117, logLikelihood: -2198.494609
[00:01:43] Bootstrap tree #118, logLikelihood: -2149.840610
[00:01:44] Bootstrap tree #119, logLikelihood: -1960.223557
[00:01:44] Bootstrap tree #120, logLikelihood: -1997.329037
[00:01:45] Bootstrap tree #121, logLikelihood: -2232.976950
[00:01:46] Bootstrap tree #122, logLikelihood: -2133.750611
[00:01:47] Bootstrap tree #123, logLikelihood: -2088.146953
[00:01:48] Bootstrap tree #124, logLikelihood: -2132.026286
[00:01:49] Bootstrap tree #125, logLikelihood: -2149.264404
[00:01:49] Bootstrap tree #126, logLikelihood: -1866.632710
[00:01:50] Bootstrap tree #127, logLikelihood: -1821.686302
[00:01:51] Bootstrap tree #128, logLikelihood: -1971.045830
[00:01:52] Bootstrap tree #129, logLikelihood: -1995.094210
[00:01:53] Bootstrap tree #130, logLikelihood: -2151.894192
[00:01:53] Bootstrap tree #131, logLikelihood: -2017.023756
[00:01:54] Bootstrap tree #132, logLikelihood: -2047.406351
[00:01:55] Bootstrap tree #133, logLikelihood: -1963.763434
[00:01:56] Bootstrap tree #134, logLikelihood: -2111.850632
[00:01:57] Bootstrap tree #135, logLikelihood: -2136.776694
[00:01:58] Bootstrap tree #136, logLikelihood: -2112.331474
[00:01:59] Bootstrap tree #137, logLikelihood: -2100.215442
[00:01:59] Bootstrap tree #138, logLikelihood: -2284.889582
[00:02:00] Bootstrap tree #139, logLikelihood: -1784.115571
[00:02:01] Bootstrap tree #140, logLikelihood: -1867.213224
[00:02:02] Bootstrap tree #141, logLikelihood: -2099.568047
[00:02:03] Bootstrap tree #142, logLikelihood: -2186.843427
[00:02:04] Bootstrap tree #143, logLikelihood: -2037.908907
[00:02:05] Bootstrap tree #144, logLikelihood: -2158.963208
[00:02:06] Bootstrap tree #145, logLikelihood: -2160.210142
[00:02:06] Bootstrap tree #146, logLikelihood: -1820.353266
[00:02:07] Bootstrap tree #147, logLikelihood: -1986.331732
