
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 05:03:38 as follows:

raxml-ng --bootstrap --msa Tolkien_arche_align_zergOG.txt --outgroup Zerg_OG --model MULTI7_MK --bs-trees 1000 --prefix BootstrapArcheZergOG --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_arche_align_zergOG.txt
[00:00:00] Loaded alignment with 33 taxa and 18 sites

Alignment comprises 1 partitions and 18 patterns

Partition 0: noname
Model: MULTI7_MK
Alignment sites / patterns: 18 / 18
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapArcheZergOG.raxml.rba
[00:00:47] Bootstrap tree #81, logLikelihood: -605.154267
[00:00:48] Bootstrap tree #82, logLikelihood: -561.625361
[00:00:49] Bootstrap tree #83, logLikelihood: -602.756259
[00:00:49] Bootstrap tree #84, logLikelihood: -550.469655
[00:00:50] Bootstrap tree #85, logLikelihood: -596.160534
[00:00:50] Bootstrap tree #86, logLikelihood: -595.709335
[00:00:51] Bootstrap tree #87, logLikelihood: -535.970390
[00:00:51] Bootstrap tree #88, logLikelihood: -598.252556
[00:00:52] Bootstrap tree #89, logLikelihood: -647.593252
[00:00:53] Bootstrap tree #90, logLikelihood: -539.373744
[00:00:54] Bootstrap tree #91, logLikelihood: -597.358055
[00:00:54] Bootstrap tree #92, logLikelihood: -489.668681
[00:00:55] Bootstrap tree #93, logLikelihood: -630.390166
[00:00:56] Bootstrap tree #94, logLikelihood: -560.401337
[00:00:57] Bootstrap tree #95, logLikelihood: -617.572738
[00:00:57] Bootstrap tree #96, logLikelihood: -559.917200
[00:00:58] Bootstrap tree #97, logLikelihood: -592.361369
[00:00:58] Bootstrap tree #98, logLikelihood: -611.038213
[00:00:59] Bootstrap tree #99, logLikelihood: -627.681682
[00:00:59] Bootstrap tree #100, logLikelihood: -586.188734
[00:01:00] Bootstrap tree #101, logLikelihood: -613.475832
[00:01:01] Bootstrap tree #102, logLikelihood: -542.565991
[00:01:01] Bootstrap tree #103, logLikelihood: -591.395672
[00:01:02] Bootstrap tree #104, logLikelihood: -544.924337
[00:01:02] Bootstrap tree #105, logLikelihood: -550.177962
[00:01:03] Bootstrap tree #106, logLikelihood: -600.808925
[00:01:04] Bootstrap tree #107, logLikelihood: -624.406883
[00:01:04] Bootstrap tree #108, logLikelihood: -580.730426
[00:01:05] Bootstrap tree #109, logLikelihood: -580.638488
[00:01:06] Bootstrap tree #110, logLikelihood: -565.033813
[00:01:06] Bootstrap tree #111, logLikelihood: -609.952598
[00:01:07] Bootstrap tree #112, logLikelihood: -543.229728
[00:01:07] Bootstrap tree #113, logLikelihood: -562.881065
[00:01:08] Bootstrap tree #114, logLikelihood: -505.671015
[00:01:08] Bootstrap tree #115, logLikelihood: -601.702421
[00:01:09] Bootstrap tree #116, logLikelihood: -487.674837
[00:01:09] Bootstrap tree #117, logLikelihood: -543.595953
[00:01:10] Bootstrap tree #118, logLikelihood: -591.700305
[00:01:10] Bootstrap tree #119, logLikelihood: -573.687806
[00:01:11] Bootstrap tree #120, logLikelihood: -630.506809
[00:01:12] Bootstrap tree #121, logLikelihood: -569.463591
[00:01:12] Bootstrap tree #122, logLikelihood: -597.828055
[00:01:13] Bootstrap tree #123, logLikelihood: -575.075413
[00:01:13] Bootstrap tree #124, logLikelihood: -534.589306
[00:01:14] Bootstrap tree #125, logLikelihood: -641.625198
[00:01:14] Bootstrap tree #126, logLikelihood: -536.289543
[00:01:15] Bootstrap tree #127, logLikelihood: -513.755468
[00:01:16] Bootstrap tree #128, logLikelihood: -543.686575
[00:01:16] Bootstrap tree #129, logLikelihood: -561.386250
[00:01:17] Bootstrap tree #130, logLikelihood: -526.055775
[00:01:17] Bootstrap tree #131, logLikelihood: -619.548078
[00:01:18] Bootstrap tree #132, logLikelihood: -586.717752
[00:01:19] Bootstrap tree #133, logLikelihood: -571.070289
[00:01:19] Bootstrap tree #134, logLikelihood: -635.072998
[00:01:20] Bootstrap tree #135, logLikelihood: -604.826200
[00:01:20] Bootstrap tree #136, logLikelihood: -586.462545
[00:01:21] Bootstrap tree #137, logLikelihood: -560.792766
[00:01:21] Bootstrap tree #138, logLikelihood: -594.021690
[00:01:22] Bootstrap tree #139, logLikelihood: -549.198431
[00:01:22] Bootstrap tree #140, logLikelihood: -597.668143
[00:01:23] Bootstrap tree #141, logLikelihood: -558.291356
[00:01:24] Bootstrap tree #142, logLikelihood: -550.297907
[00:01:24] Bootstrap tree #143, logLikelihood: -563.242121
[00:01:25] Bootstrap tree #144, logLikelihood: -611.590671
[00:01:26] Bootstrap tree #145, logLikelihood: -596.300614
[00:01:27] Bootstrap tree #146, logLikelihood: -603.924318
[00:01:27] Bootstrap tree #147, logLikelihood: -586.526216
[00:01:28] Bootstrap tree #148, logLikelihood: -592.641753
[00:01:29] Bootstrap tree #149, logLikelihood: -579.492689
[00:01:29] Bootstrap tree #150, logLikelihood: -624.787352
[00:01:30] Bootstrap tree #151, logLikelihood: -591.414619
[00:01:30] Bootstrap tree #152, logLikelihood: -611.253370
[00:01:31] Bootstrap tree #153, logLikelihood: -584.348816
[00:01:31] Bootstrap tree #154, logLikelihood: -561.063575
[00:01:32] Bootstrap tree #155, logLikelihood: -520.036884
[00:01:32] Bootstrap tree #156, logLikelihood: -587.477709
[00:01:33] Bootstrap tree #157, logLikelihood: -506.049898
[00:01:34] Bootstrap tree #158, logLikelihood: -612.410370
[00:01:34] Bootstrap tree #159, logLikelihood: -596.146229
[00:01:35] Bootstrap tree #160, logLikelihood: -580.174651
[00:01:35] Bootstrap tree #161, logLikelihood: -559.798647
[00:01:36] Bootstrap tree #162, logLikelihood: -601.788782
[00:01:37] Bootstrap tree #163, logLikelihood: -580.644336
[00:01:37] Bootstrap tree #164, logLikelihood: -581.855466
[00:01:38] Bootstrap tree #165, logLikelihood: -553.082554
[00:01:38] Bootstrap tree #166, logLikelihood: -606.872619
[00:01:39] Bootstrap tree #167, logLikelihood: -574.290102
[00:01:39] Bootstrap tree #168, logLikelihood: -563.087664
[00:01:40] Bootstrap tree #169, logLikelihood: -637.909742
[00:01:40] Bootstrap tree #170, logLikelihood: -617.880258
[00:01:41] Bootstrap tree #171, logLikelihood: -564.736134
[00:01:42] Bootstrap tree #172, logLikelihood: -554.642116
[00:01:42] Bootstrap tree #173, logLikelihood: -598.267087
[00:01:43] Bootstrap tree #174, logLikelihood: -577.321118
[00:01:44] Bootstrap tree #175, logLikelihood: -591.680155
[00:01:44] Bootstrap tree #176, logLikelihood: -597.583215
[00:01:44] Bootstrap tree #177, logLikelihood: -588.982260
[00:01:45] Bootstrap tree #178, logLikelihood: -622.920652
[00:01:46] Bootstrap tree #179, logLikelihood: -581.008645
[00:01:46] Bootstrap tree #180, logLikelihood: -560.869449
[00:01:47] Bootstrap tree #181, logLikelihood: -602.539444
[00:01:48] Bootstrap tree #182, logLikelihood: -597.726258
[00:01:48] Bootstrap tree #183, logLikelihood: -577.026170
[00:01:49] Bootstrap tree #184, logLikelihood: -576.321205
[00:01:49] Bootstrap tree #185, logLikelihood: -618.454473
[00:01:50] Bootstrap tree #186, logLikelihood: -545.189080
[00:01:51] Bootstrap tree #187, logLikelihood: -575.944430
