
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 03:44:37 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align.txt --outgroup Zerg_OG,Tyranids_OG,Xenomorphs_OG --model MULTI8_MK --bs-trees 1000 --prefix BootstrapConcat --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align.txt
[00:00:00] Loaded alignment with 36 taxa and 70 sites

Alignment comprises 1 partitions and 68 patterns

Partition 0: noname
Model: MULTI8_MK
Alignment sites / patterns: 70 / 68
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapConcat.raxml.rba
[00:01:36] Bootstrap tree #78, logLikelihood: -2431.887003
[00:01:37] Bootstrap tree #79, logLikelihood: -2485.878065
[00:01:38] Bootstrap tree #80, logLikelihood: -2637.974632
[00:01:39] Bootstrap tree #81, logLikelihood: -2186.944795
[00:01:41] Bootstrap tree #82, logLikelihood: -2265.756945
[00:01:42] Bootstrap tree #83, logLikelihood: -2474.642134
[00:01:43] Bootstrap tree #84, logLikelihood: -2344.623013
[00:01:44] Bootstrap tree #85, logLikelihood: -2359.410565
[00:01:45] Bootstrap tree #86, logLikelihood: -2728.559611
[00:01:46] Bootstrap tree #87, logLikelihood: -2493.455744
[00:01:48] Bootstrap tree #88, logLikelihood: -2329.503446
[00:01:49] Bootstrap tree #89, logLikelihood: -2453.030478
[00:01:50] Bootstrap tree #90, logLikelihood: -2369.542730
[00:01:52] Bootstrap tree #91, logLikelihood: -2297.932126
[00:01:53] Bootstrap tree #92, logLikelihood: -2541.632016
[00:01:54] Bootstrap tree #93, logLikelihood: -2610.966027
[00:01:55] Bootstrap tree #94, logLikelihood: -2270.126268
[00:01:56] Bootstrap tree #95, logLikelihood: -2666.446925
[00:01:57] Bootstrap tree #96, logLikelihood: -2312.108702
[00:01:58] Bootstrap tree #97, logLikelihood: -2399.304048
[00:01:59] Bootstrap tree #98, logLikelihood: -2533.486458
[00:02:01] Bootstrap tree #99, logLikelihood: -2432.877512
[00:02:02] Bootstrap tree #100, logLikelihood: -2447.738931
[00:02:03] Bootstrap tree #101, logLikelihood: -2473.569455
[00:02:05] Bootstrap tree #102, logLikelihood: -2460.479996
[00:02:06] Bootstrap tree #103, logLikelihood: -2434.161253
[00:02:08] Bootstrap tree #104, logLikelihood: -2410.183621
[00:02:10] Bootstrap tree #105, logLikelihood: -2584.858777
[00:02:11] Bootstrap tree #106, logLikelihood: -2317.950007
[00:02:12] Bootstrap tree #107, logLikelihood: -2297.786845
[00:02:13] Bootstrap tree #108, logLikelihood: -2618.064900
[00:02:15] Bootstrap tree #109, logLikelihood: -2418.181177
[00:02:16] Bootstrap tree #110, logLikelihood: -2607.827128
[00:02:18] Bootstrap tree #111, logLikelihood: -2251.744178
[00:02:19] Bootstrap tree #112, logLikelihood: -2497.405256
[00:02:20] Bootstrap tree #113, logLikelihood: -2471.056152
[00:02:22] Bootstrap tree #114, logLikelihood: -2433.420093
[00:02:23] Bootstrap tree #115, logLikelihood: -2276.807158
[00:02:25] Bootstrap tree #116, logLikelihood: -2613.123646
[00:02:26] Bootstrap tree #117, logLikelihood: -2570.426271
[00:02:27] Bootstrap tree #118, logLikelihood: -2556.953351
[00:02:28] Bootstrap tree #119, logLikelihood: -2331.266969
[00:02:29] Bootstrap tree #120, logLikelihood: -2366.287599
[00:02:31] Bootstrap tree #121, logLikelihood: -2669.434043
[00:02:32] Bootstrap tree #122, logLikelihood: -2542.195441
[00:02:33] Bootstrap tree #123, logLikelihood: -2430.344592
[00:02:35] Bootstrap tree #124, logLikelihood: -2521.638050
[00:02:36] Bootstrap tree #125, logLikelihood: -2537.190546
[00:02:37] Bootstrap tree #126, logLikelihood: -2211.719596
[00:02:38] Bootstrap tree #127, logLikelihood: -2197.200545
[00:02:39] Bootstrap tree #128, logLikelihood: -2340.252198
[00:02:40] Bootstrap tree #129, logLikelihood: -2354.965991
[00:02:41] Bootstrap tree #130, logLikelihood: -2546.155744
[00:02:42] Bootstrap tree #131, logLikelihood: -2376.836698
[00:02:44] Bootstrap tree #132, logLikelihood: -2432.048467
[00:02:45] Bootstrap tree #133, logLikelihood: -2312.463348
[00:02:47] Bootstrap tree #134, logLikelihood: -2532.901102
[00:02:48] Bootstrap tree #135, logLikelihood: -2510.761804
[00:02:49] Bootstrap tree #136, logLikelihood: -2518.326747
[00:02:50] Bootstrap tree #137, logLikelihood: -2505.211988
[00:02:51] Bootstrap tree #138, logLikelihood: -2711.376810
[00:02:52] Bootstrap tree #139, logLikelihood: -2143.489052
[00:02:53] Bootstrap tree #140, logLikelihood: -2210.891230
[00:02:55] Bootstrap tree #141, logLikelihood: -2478.730182
[00:02:56] Bootstrap tree #142, logLikelihood: -2597.512478
[00:02:57] Bootstrap tree #143, logLikelihood: -2415.852558
[00:02:58] Bootstrap tree #144, logLikelihood: -2574.370657
[00:03:00] Bootstrap tree #145, logLikelihood: -2565.108849
[00:03:01] Bootstrap tree #146, logLikelihood: -2206.156263
[00:03:02] Bootstrap tree #147, logLikelihood: -2347.099338
[00:03:04] Bootstrap tree #148, logLikelihood: -2239.696830
[00:03:06] Bootstrap tree #149, logLikelihood: -2463.221672
[00:03:07] Bootstrap tree #150, logLikelihood: -2567.769717
[00:03:08] Bootstrap tree #151, logLikelihood: -2573.173154
[00:03:09] Bootstrap tree #152, logLikelihood: -2599.927297
[00:03:10] Bootstrap tree #153, logLikelihood: -2437.741761
